agency_cd,site_no,measurement_nu,measurement_dt,tz_cd,q_meas_used_fg,party_nm,site_visit_coll_agency_cd,gage_height_va,discharge_va,measured_rating_diff,gage_va_change,gage_va_time,control_type_cd,discharge_cd
USGS,3171000,1,1939-07-12,,Yes,ARG/PNS,USGS,2.34,2420,Unspecified,,,,NONE
USGS,3171000,2,1939-07-12,,Yes,ARG/PNS,USGS,2.34,2410,Unspecified,,,,NONE
USGS,3171000,3,1939-10-23,,Yes,ODM/TWE,USGS,1.84,1090,Unspecified,,,,NONE
USGS,3171000,4,1940-03-05,,Yes,ARG/PNS,USGS,2.95,4530,Good,,,,NONE
USGS,3171000,5,1940-03-05,,Yes,ARG/PNS,USGS,4.37,10800,Unspecified,,,,NONE
USGS,3171000,6,1940-03-06,,Yes,ARG/PNS,USGS,3.46,6720,Good,,,,NONE
USGS,3171000,7,1940-07-19,,Yes,CAS/PNS,USGS,2.78,3910,Unspecified,,,,NONE
USGS,3171000,8,1940-08-15,,Yes,CAS/PNS,USGS,18.83,72300,Unspecified,,,,NONE
USGS,3171000,9,1940-08-15,,Yes,CAS/PNS,USGS,15.44,54600,Unspecified,,,,NONE
USGS,3171000,10,1940-08-16,,Yes,CAS/PNS,USGS,11.55,37400,Unspecified,,,,NONE
USGS,3171000,11,1940-08-17,,Yes,CAS/PNS,USGS,7.84,22700,Unspecified,,,,NONE
USGS,3171000,12,1940-08-21,,Yes,CAS/PNS,USGS,4.21,9970,Unspecified,,,,NONE
USGS,3171000,13,1940-10-22,,Yes,CAS/PNS,USGS,3.27,5720,Unspecified,,,,NONE
USGS,3171000,14,1941-01-08,,Yes,TFH,USGS,3.9,9130,Fair,,,,NONE
USGS,3171000,15,1941-03-05,,Yes,TFH,USGS,3.29,5820,Good,,,,NONE
USGS,3171000,16,1941-05-09,,Yes,PNS,USGS,2.88,4540,Good,,,,NONE
USGS,3171000,17,1941-07-11,,Yes,JSC,USGS,3.74,8280,Good,,,,NONE
USGS,3171000,18,1941-09-25,,Yes,PNS,USGS,2.76,4010,Good,,,,NONE
USGS,3171000,19,1942-01-18,,Yes,RLM,USGS,1.71,946,Good,,,,NONE
USGS,3171000,20,1942-03-15,,Yes,CAS,USGS,3.13,5040,Fair,,,,NONE
USGS,3171000,21,1942-04-16,,Yes,CAS,USGS,1.65,745,Good,,,,NONE
USGS,3171000,22,1942-05-12,,Yes,CAS,USGS,1.28,281,Good,,,,NONE
USGS,3171000,23,1942-06-09,,Yes,GCC/CAS,USGS,2.05,1000,Good,,,Clear,NONE
USGS,3171000,24,1942-07-09,,Yes,CAS,USGS,3.86,8580,Good,,,,NONE
USGS,3171000,25,1942-08-17,,Yes,CAS,USGS,4.36,10900,Good,,,,NONE
USGS,3171000,26,1942-09-17,,Yes,CAS,USGS,2.85,4330,Good,,,,NONE
USGS,3171000,27,1942-10-14,,Yes,CAS,USGS,4.18,9810,Good,,,,NONE
USGS,3171000,28,1942-11-25,,Yes,CAS,USGS,2.84,4370,Fair,,,,NONE
USGS,3171000,29,1943-01-01,,Yes,CAS,USGS,4.55,11300,Good,,,,NONE
USGS,3171000,30,1943-01-29,,Yes,CAS,USGS,4.44,11000,Good,,,,NONE
USGS,3171000,31,1943-02-18,,Yes,CAS,USGS,3.16,5160,Fair,,,,NONE
USGS,3171000,32,1943-03-18,,Yes,CAS,USGS,4.04,9140,Good,,,,NONE
USGS,3171000,33,1943-04-22,,Yes,CAS,USGS,4.35,10200,Good,,,,NONE
USGS,3171000,34,1943-05-13,,Yes,CAS,USGS,4.12,9870,Good,,,,NONE
USGS,3171000,35,1943-06-16,,Yes,CAS,USGS,3.29,5900,Good,,,,NONE
USGS,3171000,36,1943-07-15,,Yes,TFH/CAS,USGS,3.44,6620,Good,,,,NONE
USGS,3171000,37,1943-07-21,,Yes,TFH/CAS,USGS,1.64,725,Good,,,,NONE
USGS,3171000,38,1943-07-21,,Yes,TFH/CAS,USGS,1.52,565,Good,,,,NONE
USGS,3171000,39,1943-07-21,,Yes,TFH/CAS,USGS,1.52,557,Good,,,,NONE
USGS,3171000,40,1943-08-11,,Yes,CAS,USGS,2.21,2190,Fair,,,,NONE
USGS,3171000,41,1943-09-04,,Yes,RHT,USGS,1.32,338,Fair,,,Clear,NONE
USGS,3171000,42,1943-09-04,,Yes,RHT,USGS,1.32,329,Fair,,,Clear,NONE
USGS,3171000,43,1943-09-09,,Yes,CAS,USGS,1.21,248,Good,,,Clear,NONE
USGS,3171000,44,1943-11-05,,Yes,RHT/CAS,USGS,2.03,1570,Good,,,Clear,NONE
USGS,3171000,45,1943-12-14,,Yes,CAS,USGS,2.24,2170,Good,,,,NONE
USGS,3171000,46,1944-01-14,,Yes,CAS,USGS,2.63,3520,Fair,,,Clear,NONE
